country,satellite_name,approximate_orbit_type,record_id,object_type,launch_year,launch_site,longitude,avg_longitude,geohash,HRR_Category,is_nominated,nominated_at,norad_cat_id,has_dossier,last_updated_at,justification,focused_analysis,days_old,conjunction_count,is_unk_object,all_maneuvers,days_since_ob,recent_maneuvers,deltaV_90day,has_sister_debris
PRC,CZ-4C DEB,LEO,38296,Debris,2010,TSC,-91.65614593,-30.67934984,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,38296,FALSE,2023-01-01T00:00:00.000Z,-,-,5204,0,FALSE,0,0,0,0.0,FALSE
JPN,SDS-4,LEO,38339,Payload,2012,TNSTA,-118.4285304,-156.3827341,"30.4,130.97",Blue,FALSE,2023-01-01T00:00:00.000Z,38339,FALSE,2023-01-01T00:00:00.000Z,-,-,4644,0,FALSE,0,0,0,0.0,FALSE
CIS,BREEZE-M DEB,HEO,38576,Debris,2008,TTMTR,-26.56226664,-78.82274015,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,38576,FALSE,2023-01-01T00:00:00.000Z,-,-,6169,0,FALSE,0,0,0,0.0,FALSE
CIS,SL-8 DEB,LEO,39840,Debris,1991,PKMTR,-170.9526895,-112.6118862,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,39840,FALSE,2023-01-01T00:00:00.000Z,-,-,12409,0,FALSE,0,0,0,0.0,FALSE
PRC,FENGYUN 1C DEB,LEO,41009,Debris,1999,TSC,0.0,0.0,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,41009,FALSE,2023-01-01T00:00:00.000Z,-,-,9400,0,FALSE,0,0,0,0.0,FALSE
US,NOAA 16 DEB,LEO,41262,Debris,2000,AFWTR,-19.50160663,-11.56501484,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,41262,FALSE,2023-01-01T00:00:00.000Z,-,-,8900,0,FALSE,0,0,0,0.0,FALSE
US,NOAA 16 DEB,LEO,41280,Debris,2000,AFWTR,65.61059708,132.8474932,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,41280,FALSE,2023-01-01T00:00:00.000Z,-,-,8900,0,FALSE,0,0,0,0.0,FALSE
US,ATLAS CENTAUR R/B,GEO,43341,Rocket Body,2018,AFETR,38.14259351,84.15165002,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,43341,FALSE,2023-01-01T00:00:00.000Z,-,-,2486,0,FALSE,0,0,0,0.0,FALSE
US,STARLINK-3328,LEO,50832,Payload,2022,AFETR,-96.4676708,-51.76946262,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,50832,FALSE,2023-01-01T00:00:00.000Z,-,-,1123,15,FALSE,0,0,0,0.0,FALSE
US,ATLAS 5 CENTAUR DEB,HEO,52828,Debris,2014,AFETR,-17.6569177,1.314486171,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,52828,FALSE,2023-01-01T00:00:00.000Z,-,-,3791,0,FALSE,0,0,0,0.0,FALSE
US,STARLINK-5146,LEO,54073,Payload,2022,AFETR,52.42228448,90.50712054,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,54073,FALSE,2023-01-01T00:00:00.000Z,-,-,836,8,FALSE,0,0,0,0.0,FALSE
PRC,CZ-6A DEB,LEO,55520,Debris,2022,TSC,-18.74394719,115.2530708,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,55520,FALSE,2023-01-01T00:00:00.000Z,-,-,814,0,FALSE,0,0,0,0.0,FALSE
PRC,CZ-6A DEB,LEO,55551,Debris,2022,TSC,-1.727916014,120.2147444,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,55551,FALSE,2023-01-01T00:00:00.000Z,-,-,814,0,FALSE,0,0,0,0.0,FALSE
UK,ONEWEB-0718,LEO,56081,Payload,2023,SRI,131.0707599,-153.338966,"13.7178,80.2",Blue,FALSE,2023-01-01T00:00:00.000Z,56081,FALSE,2023-01-01T00:00:00.000Z,-,-,679,0,FALSE,0,0,0,0.0,FALSE
US,TOMORROW-R1,LEO,56199,Payload,2023,AFWTR,-120.700056,-22.74951888,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,56199,FALSE,2023-01-01T00:00:00.000Z,-,-,659,5,FALSE,0,0,0,0.0,FALSE
US,STARLINK-5763,LEO,56505,Payload,2023,AFETR,-80.05460785,-112.9794017,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,56505,FALSE,2023-01-01T00:00:00.000Z,-,-,630,1,FALSE,0,0,0,0.0,FALSE
US,STARLINK-6135,LEO,56539,Payload,2023,AFETR,57.24594234,27.0931473,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,56539,FALSE,2023-01-01T00:00:00.000Z,-,-,630,1,FALSE,0,0,0,0.0,FALSE
US,STARLINK-31645,LEO,59264,Payload,2024,AFWTR,-81.83593899,45.13710618,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,59264,FALSE,2023-01-01T00:00:00.000Z,-,-,320,2,FALSE,0,0,0,0.0,FALSE
US,STARLINK-32254,LEO,60427,Payload,2024,AFETR,33.39756741,103.3621661,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,60427,FALSE,2023-01-01T00:00:00.000Z,-,-,174,0,FALSE,0,0,0,0.0,FALSE
US,ATLAS CENTAUR R/B,HEO,6797,Rocket Body,1973,AFETR,20.97300115,81.57245387,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,6797,FALSE,2023-01-01T00:00:00.000Z,-,-,18791,0,FALSE,0,0,0,0.0,FALSE
US,DELTA 1 DEB,LEO,10730,Debris,1975,AFWTR,-27.86336164,-80.3044203,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,10730,FALSE,2023-01-01T00:00:00.000Z,-,-,18197,0,FALSE,0,0,0,0.0,FALSE
CIS,COSMOS 1150,LEO,11667,Payload,1980,PKMTR,-81.82233708,-27.85498603,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,11667,FALSE,2023-01-01T00:00:00.000Z,-,-,16456,4,FALSE,0,0,0,0.0,FALSE
CIS,COSMOS 1275 DEB,LEO,13460,Debris,1981,PKMTR,164.0172556,-50.78371491,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,13460,FALSE,2023-01-01T00:00:00.000Z,-,-,15949,0,FALSE,0,0,0,0.0,FALSE
GER,TVSAT 1,GEO,18570,Payload,1987,FRGUI,63.71398965,-11.48180431,"5.222222,-52.773611",Blue,FALSE,2023-01-01T00:00:00.000Z,18570,FALSE,2023-01-01T00:00:00.000Z,-,-,13588,0,FALSE,0,0,0,0.0,FALSE
CIS,SL-16 DEB,LEO,20626,Debris,1990,TTMTR,73.31951716,-41.96560243,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,20626,FALSE,2023-01-01T00:00:00.000Z,-,-,12675,0,FALSE,0,0,0,0.0,FALSE
ESA,PROBA 1,LEO,26958,Payload,2001,SRI,148.3234088,-90.27827265,"13.7178,80.2",Blue,FALSE,2023-01-01T00:00:00.000Z,26958,FALSE,2023-01-01T00:00:00.000Z,-,-,8504,0,FALSE,0,0,0,0.0,FALSE
US,DELTA 1 DEB,LEO,2700,Debris,1965,AFETR,69.41702735,102.4315405,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,2700,FALSE,2023-01-01T00:00:00.000Z,-,-,21638,0,FALSE,0,0,0,0.0,FALSE
CIS,COSMOS 2397,GEO,27775,Payload,2003,TTMTR,-163.2058068,-40.55966406,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,27775,FALSE,2023-01-01T00:00:00.000Z,-,-,7955,0,FALSE,0,0,0,0.0,FALSE
CIS,METEOR 2-17 DEB,LEO,29301,Debris,1988,PKMTR,-141.5791444,53.88615572,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,29301,FALSE,2023-01-01T00:00:00.000Z,-,-,13518,0,FALSE,0,0,0,0.0,FALSE
PRC,FENGYUN 1C DEB,LEO,29922,Debris,1999,TSC,-21.84739066,-42.29037244,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,29922,FALSE,2023-01-01T00:00:00.000Z,-,-,9400,0,FALSE,0,0,0,0.0,FALSE
PRC,FENGYUN 1C DEB,LEO,30005,Debris,1999,TSC,132.5500054,-71.52760996,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,30005,FALSE,2023-01-01T00:00:00.000Z,-,-,9400,0,FALSE,0,0,0,0.0,FALSE
PRC,FENGYUN 1C DEB,LEO,30155,Debris,1999,TSC,-137.886235,31.22346425,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,30155,FALSE,2023-01-01T00:00:00.000Z,-,-,9400,0,FALSE,0,0,0,0.0,FALSE
