RecordID,Name,Country,OrbitType,ObjectType,LaunchYear,LaunchSite,Longitude,AvgLongitude,GeoHash,DaysOld,StillInOrbit,RiskLevel
47437,OBJECT AA,TBD,LEO,Unknown,2021,AFETR,30.61,-104.51,"28.4917337,-80.5825555",1470,true,High
47880,STARLINK-2337,US,LEO,Payload,2021,AFETR,-175.03,-130.53,"28.4917337,-80.5825555",1421,true,Moderate
47960,OBJECT AE,TBD,LEO,Unknown,2021,TTMTR,50.39,160.69,"45.965,63.305",1413,true,High
4821,THORAD AGENA D DEB,US,LEO,Debris,1970,AFWTR,178.21,-72.05,"34.742221,-120.57243",20024,false,High
48370,STARLINK-2621,US,LEO,Payload,2021,AFETR,54.80,104.19,"28.4917337,-80.5825555",1370,true,Moderate
50802,COSMOS 2499 DEB,CIS,LEO,Debris,2014,PKMTR,0.00,84.38,"62.925556,40.577778",3908,false,High
54008,STARLINK-5145,US,LEO,Payload,2022,AFWTR,-125.29,-84.74,"34.742221,-120.57243",851,true,Moderate
55658,STARLINK-5307,US,LEO,Payload,2023,AFWTR,67.76,168.11,"34.742221,-120.57243",716,true,High
57868,STARLINK-30442,US,LEO,Payload,2023,AFETR,-157.99,164.47,"28.4917337,-80.5825555",505,true,High
58185,STARLINK-30793,US,LEO,Payload,2023,AFETR,80.02,42.17,"28.4917337,-80.5825555",461,true,Moderate
58197,STARLINK-30762,US,LEO,Payload,2023,AFETR,5.84,-24.71,"28.4917337,-80.5825555",461,true,Moderate
59891,STARLINK-31949,US,LEO,Payload,2024,AFETR,-144.49,-85.39,"28.4917337,-80.5825555",250,true,High
60053,STARLINK-31793,US,LEO,Payload,2024,AFWTR,122.65,134.57,"34.742221,-120.57243",239,true,Moderate
60336,STARLINK-32079,US,LEO,Payload,2024,AFETR,35.74,162.28,"28.4917337,-80.5825555",184,true,High
61354,CZ-6A DEB,PRC,LEO,Debris,2024,TSC,0.00,32.23,"38.849086,111.608497",180,false,Moderate
61819,CZ-6A DEB,PRC,LEO,Debris,2024,TSC,0.00,22.60,"38.849086,111.608497",180,false,Moderate
12542,DELTA 1 DEB,US,LEO,Debris,1976,AFWTR,-32.49,127.19,"34.742221,-120.57243",17720,false,High
19919,TELE-X,SWED,GEO,Payload,1989,FRGUI,-11.56,63.58,"5.222222,-52.773611",13090,true,High
21453,DELTA 1 DEB,US,LEO,Debris,1975,AFWTR,136.69,-145.41,"34.742221,-120.57243",18133,false,High
23479,SL-19 DEB,CIS,LEO,Debris,1994,TTMTR,164.32,35.19,"45.965,63.305",10996,false,High
26222,CZ-4 DEB,PRC,LEO,Debris,1999,TSC,-158.55,-177.56,"38.849086,111.608497",9243,false,Moderate
27729,DELTA 1 DEB,US,LEO,Debris,1977,AFETR,156.61,-46.53,"28.4917337,-80.5825555",17370,false,High
28039,ARIANE 44L DEB,FR,HEO,Debris,1991,FRGUI,-109.61,33.17,"5.222222,-52.773611",12437,false,High
28463,EXPRESS AM-1,CIS,GEO,Payload,2004,TTMTR,-94.43,-8.29,"45.965,63.305",7401,true,High
28500,DELTA 4 DEMO SPACECRAFT,US,HEO,Payload,2004,AFETR,-90.92,-107.01,"28.4917337,-80.5825555",7348,true,Moderate
30750,FENGYUN 1C DEB,PRC,LEO,Debris,1999,TSC,-131.09,149.02,"38.849086,111.608497",9400,false,High
38296,CZ-4C DEB,PRC,LEO,Debris,2010,TSC,-91.66,-30.68,"38.849086,111.608497",5204,false,High
38339,SDS-4,JPN,LEO,Payload,2012,TNSTA,-118.43,-156.38,"30.4,130.97",4644,true,Moderate
38576,BREEZE-M DEB,CIS,HEO,Debris,2008,TTMTR,-26.56,-78.82,"45.965,63.305",6169,false,High
39840,SL-8 DEB,CIS,LEO,Debris,1991,PKMTR,-170.95,-112.61,"62.925556,40.577778",12409,false,High
41009,FENGYUN 1C DEB,PRC,LEO,Debris,1999,TSC,0.00,0.00,"38.849086,111.608497",9400,false,Low
41262,NOAA 16 DEB,US,LEO,Debris,2000,AFWTR,-19.50,-11.57,"34.742221,-120.57243",8900,false,Low
41280,NOAA 16 DEB,US,LEO,Debris,2000,AFWTR,65.61,132.85,"34.742221,-120.57243",8900,false,High
43341,ATLAS CENTAUR R/B,US,GEO,Rocket Body,2018,AFETR,38.14,84.15,"28.4917337,-80.5825555",2486,true,Moderate
50832,STARLINK-3328,US,LEO,Payload,2022,AFETR,-96.47,-51.77,"28.4917337,-80.5825555",1123,true,Moderate
52828,ATLAS 5 CENTAUR DEB,US,HEO,Debris,2014,AFETR,-17.66,1.31,"28.4917337,-80.5825555",3791,false,Moderate
54073,STARLINK-5146,US,LEO,Payload,2022,AFETR,52.42,90.51,"28.4917337,-80.5825555",836,true,Moderate
55520,CZ-6A DEB,PRC,LEO,Debris,2022,TSC,-18.74,115.25,"38.849086,111.608497",814,false,High
55551,CZ-6A DEB,PRC,LEO,Debris,2022,TSC,-1.73,120.21,"38.849086,111.608497",814,false,High
56081,ONEWEB-0718,UK,LEO,Payload,2023,SRI,131.07,-153.34,"13.7178,80.2",679,true,High
56199,TOMORROW-R1,US,LEO,Payload,2023,AFWTR,-120.70,-22.75,"34.742221,-120.57243",659,true,High
56505,STARLINK-5763,US,LEO,Payload,2023,AFETR,-80.05,-112.98,"28.4917337,-80.5825555",630,true,Moderate
56539,STARLINK-6135,US,LEO,Payload,2023,AFETR,57.25,27.09,"28.4917337,-80.5825555",630,true,Moderate
59264,STARLINK-31645,US,LEO,Payload,2024,AFWTR,-81.84,45.14,"34.742221,-120.57243",320,true,High
60427,STARLINK-32254,US,LEO,Payload,2024,AFETR,33.40,103.36,"28.4917337,-80.5825555",174,true,High
6797,ATLAS CENTAUR R/B,US,HEO,Rocket Body,1973,AFETR,20.97,81.57,"28.4917337,-80.5825555",18791,false,High
10730,DELTA 1 DEB,US,LEO,Debris,1975,AFWTR,-27.86,-80.30,"34.742221,-120.57243",18197,false,High
11667,COSMOS 1150,CIS,LEO,Payload,1980,PKMTR,-81.82,-27.85,"62.925556,40.577778",16456,false,High
13460,COSMOS 1275 DEB,CIS,LEO,Debris,1981,PKMTR,164.02,-50.78,"62.925556,40.577778",15949,false,High
18570,TVSAT 1,GER,GEO,Payload,1987,FRGUI,63.71,-11.48,"5.222222,-52.773611",13588,true,High
20626,SL-16 DEB,CIS,LEO,Debris,1990,TTMTR,73.32,-41.97,"45.965,63.305",12675,false,High
26958,PROBA 1,ESA,LEO,Payload,2001,SRI,148.32,-90.28,"13.7178,80.2",8504,true,High
2700,DELTA 1 DEB,US,LEO,Debris,1965,AFETR,69.42,102.43,"28.4917337,-80.5825555",21638,false,Moderate
27775,COSMOS 2397,CIS,GEO,Payload,2003,TTMTR,-163.21,-40.56,"45.965,63.305",7955,true,High
29301,METEOR 2-17 DEB,CIS,LEO,Debris,1988,PKMTR,-141.58,53.89,"62.925556,40.577778",13518,false,High
29922,FENGYUN 1C DEB,PRC,LEO,Debris,1999,TSC,-21.85,-42.29,"38.849086,111.608497",9400,false,Moderate
30005,FENGYUN 1C DEB,PRC,LEO,Debris,1999,TSC,132.55,-71.53,"38.849086,111.608497",9400,false,High
30155,FENGYUN 1C DEB,PRC,LEO,Debris,1999,TSC,-137.89,31.22,"38.849086,111.608497",9400,false,High
32119,FENGYUN 1C DEB,PRC,LEO,Debris,1999,TSC,156.15,-76.54,"38.849086,111.608497",9400,false,High
33558,ARIANE 2 DEB,FR,HEO,Debris,1989,FRGUI,-166.74,133.02,"5.222222,-52.773611",13155,false,High
33776,IRIDIUM 33 DEB,US,LEO,Debris,1997,TTMTR,-161.53,-162.01,"45.965,63.305",10003,false,Low
35796,COSMOS 2251 DEB,CIS,LEO,Debris,1993,PKMTR,130.75,0.00,"62.925556,40.577778",11554,false,High
39166,NAVSTAR 68 (USA 242),US,MEO,Payload,2013,AFETR,28.26,91.15,"28.4917337,-80.5825555",4281,true,High
40862,CZ-3C DEB,PRC,HEO,Debris,2012,XSC,0.00,0.00,"28.246017,102.026556",4727,false,Low
48539,SL-12 DEB,CIS,HEO,Debris,2008,TTMTR,0.00,0.00,"45.965,63.305",5974,false,Low
49206,ONEWEB-0340,UK,LEO,Payload,2021,TTMTR,-151.81,-58.74,"45.965,63.305",1237,true,High
49280,ONEWEB-0347,UK,LEO,Payload,2021,VOSTO,-34.18,156.99,"51.884553,128.334778",1207,true,High
51634,ONEWEB-0438,UK,LEO,Payload,2022,FRGUI,85.32,-94.11,"5.222222,-52.773611",1088,true,High
51789,STARLINK-3639,US,LEO,Payload,2022,AFWTR,23.50,62.98,"34.742221,-120.57243",1073,true,Moderate
5181,SL-8 R/B,CIS,LEO,Rocket Body,1971,PKMTR,77.29,-144.68,"62.925556,40.577778",19639,false,High
52967,ATLAS 5 CENTAUR DEB,US,HEO,Debris,2018,AFETR,0.00,0.00,"28.4917337,-80.5825555",2300,false,Low
53093,COSMOS 2251 DEB,CIS,LEO,Debris,1993,PKMTR,-1.03,145.83,"62.925556,40.577778",11554,false,High
53223,STARLINK-4354,US,LEO,Payload,2022,AFWTR,34.33,131.31,"34.742221,-120.57243",926,true,High
54010,STARLINK-5127,US,LEO,Payload,2022,AFWTR,-80.58,-41.82,"34.742221,-120.57243",851,true,Moderate
54198,STARLINK-5246,US,LEO,Payload,2022,AFWTR,92.60,148.78,"34.742221,-120.57243",828,true,High
56413,STARLINK-6258,US,LEO,Payload,2023,AFETR,55.36,23.89,"28.4917337,-80.5825555",640,true,Moderate
57329,STARLINK-6138,US,LEO,Payload,2023,AFETR,54.50,22.99,"28.4917337,-80.5825555",567,true,Moderate
58639,STARLINK-31070,US,LEO,Payload,2023,AFETR,107.80,-41.54,"28.4917337,-80.5825555",407,true,High
